"Algorithm","Result","Group","Replication"
"Alg1",2.60711961567897e-08,"2",1
"Alg2",6.25472461702318e-05,"2",1
"Alg1",0.434101895208583,"3",1
"Alg2",2.80178312742517,"3",1
"Alg1",1.18483766078906,"4",1
"Alg2",4.52807285406745,"4",1
"Alg1",0.382409657090467,"5",1
"Alg2",23.7589354631288,"5",1
"Alg1",7.85486679485568,"6",1
"Alg2",151.653886928664,"6",1
"Alg1",13.7513774976651,"7",1
"Alg2",687.437879102507,"7",1
"Alg1",13.2970993986551,"8",1
"Alg2",3150.15237159125,"8",1
"Alg1",32.2697784979113,"9",1
"Alg2",9975.85950055627,"9",1
"Alg1",177.151416275456,"10",1
"Alg2",6667.40333745684,"10",1
"Alg1",385.532602149266,"11",1
"Alg2",10513.3255133906,"11",1
"Alg1",1281.81410486401,"12",1
"Alg2",27176.6617106023,"12",1
"Alg1",1571.4557400151,"13",1
"Alg2",99083.6420442709,"13",1
"Alg1",2058.08599332613,"14",1
"Alg2",85780.6385884142,"14",1
"Alg1",395.950208501986,"15",1
"Alg2",124805.378868831,"15",1
"Alg1",2797.96133742865,"16",1
"Alg2",115271.038040802,"16",1
"Alg1",12170.7143867293,"17",1
"Alg2",166510.231102807,"17",1
"Alg1",11236.5017500633,"18",1
"Alg2",189454.62898552,"18",1
"Alg1",17016.19666361,"19",1
"Alg2",183049.950667804,"19",1
"Alg1",11642.0289693767,"20",1
"Alg2",284542.982760898,"20",1
"Alg1",23658.0319001401,"21",1
"Alg2",272882.150487397,"21",1
"Alg1",25725.92241533,"22",1
"Alg2",389743.489196932,"22",1
"Alg1",40395.4488823036,"23",1
"Alg2",464133.003190817,"23",1
"Alg1",48073.8675066929,"24",1
"Alg2",507407.997086355,"24",1
"Alg1",65062.1511877749,"25",1
"Alg2",504936.840944255,"25",1
"Alg1",36130.612434581,"26",1
"Alg2",426114.63631394,"26",1
"Alg1",106427.490212628,"27",1
"Alg2",544339.022929618,"27",1
"Alg1",73330.5149031931,"28",1
"Alg2",606750.754247015,"28",1
"Alg1",128358.841280783,"29",1
"Alg2",670884.341179873,"29",1
"Alg1",99938.8899231288,"30",1
"Alg2",726770.230626881,"30",1
"Alg1",114274.530510842,"31",1
"Alg2",653100.335149169,"31",1
"Alg1",228008.88882171,"32",1
"Alg2",765149.431128056,"32",1
"Alg1",242169.790047919,"33",1
"Alg2",772615.615304472,"33",1
"Alg1",245605.317907278,"34",1
"Alg2",926228.052842855,"34",1
"Alg1",407302.759490526,"35",1
"Alg2",968999.299848813,"35",1
"Alg1",331668.241059418,"36",1
"Alg2",928939.634285666,"36",1
"Alg1",346891.16904071,"37",1
"Alg2",972950.153423412,"37",1
"Alg1",192307.120517204,"38",1
