"Block,""Algorithm"",""Y"""
"1,""Alg1"",4303555.27702822"
"1,""Alg2"",6298070.22462306"
"2,""Alg1"",2655139.56862934"
"2,""Alg2"",4222472.3237979"
"3,""Alg1"",3319701.25441894"
"3,""Alg2"",5839262.15303486"
"4,""Alg1"",1255123.38537697"
"4,""Alg2"",2720265.1988251"
"5,""Alg1"",6323500.04404665"
"5,""Alg2"",8559121.76731526"
"6,""Alg1"",3219687.71934247"
"6,""Alg2"",4733627.54156292"
"7,""Alg1"",3600171.43585428"
"7,""Alg2"",5221293.1522662"
"8,""Alg1"",205622.843394643"
"8,""Alg2"",741455.224145558"
"9,""Alg1"",168357.481695495"
"9,""Alg2"",680529.271870552"
"10,""Alg1"",2791414.2788364"
"10,""Alg2"",4708419.93205577"
"11,""Alg1"",1412636.04954123"
"11,""Alg2"",2549522.3407328"
"12,""Alg1"",5790149.5718998"
"12,""Alg2"",7665197.8859477"
"13,""Alg1"",158858.34586409"
"13,""Alg2"",487612.503693267"
"14,""Alg1"",2058225.87764856"
"14,""Alg2"",3081146.70086836"
"15,""Alg1"",4054785.31320184"
"15,""Alg2"",5609834.08250979"
"16,""Alg1"",7170084.54241271"
"16,""Alg2"",9688969.37843299"
"17,""Alg1"",2323766.39183632"
"17,""Alg2"",4123606.94530556"
"18,""Alg1"",3648366.43816096"
"18,""Alg2"",5152044.9061718"
"19,""Alg1"",5197464.72104993"
"19,""Alg2"",7064683.74969457"
"20,""Alg1"",3710443.83872204"
"20,""Alg2"",6187679.99686761"
"21,""Alg1"",1451785.92287984"
"21,""Alg2"",2738628.26866651"
"22,""Alg1"",5352683.6240326"
"22,""Alg2"",7957462.46120153"
"23,""Alg1"",1160129.94854925"
"23,""Alg2"",2351798.46818065"
"24,""Alg1"",616516.399405165"
"24,""Alg2"",1320207.34135708"
"25,""Alg1"",1456300.26653774"
"25,""Alg2"",2962764.39886442"
"26,""Alg1"",7400591.02160633"
"26,""Alg2"",9723877.34791108"
"27,""Alg1"",1983315.98811324"
"27,""Alg2"",3329706.29248986"
"28,""Alg1"",2117364.00263259"
"28,""Alg2"",3807991.20711249"
"29,""Alg1"",4530958.7730304"
"29,""Alg2"",6680904.07927794"
"30,""Alg1"",7079513.53154148"
"30,""Alg2"",9466092.7416396"
"31,""Alg1"",4253298.75409595"
"31,""Alg2"",6694945.31046249"
"32,""Alg1"",1153615.08513054"
"32,""Alg2"",2695464.76364976"
"33,""Alg1"",5381794.57828018"
"33,""Alg2"",7983682.4996778"
"34,""Alg1"",6881.79007300029"
"34,""Alg2"",95050.2134181221"
"35,""Alg1"",1418587.80830601"
"35,""Alg2"",2794304.58499824"
"36,""Alg1"",5627864.81740317"
"36,""Alg2"",8105650.53929391"
"37,""Alg1"",3349175.96840778"
"37,""Alg2"",5061975.14378976"
"38,""Alg1"",3981.96466216357"
"38,""Alg2"",143798.110672324"
"39,""Alg1"",1390048.18487203"
"39,""Alg2"",2635028.18134642"
"40,""Alg1"",1166551.12949003"
"40,""Alg2"",2374066.15989218"
"41,""Alg1"",4841817.59605244"
"41,""Alg2"",6246779.16403478"
"42,""Alg1"",5923677.05130656"
"42,""Alg2"",8407172.02539376"
"43,""Alg1"",6548087.2649568"
"43,""Alg2"",9044934.74138036"
"44,""Alg1"",1988797.99937119"
"44,""Alg2"",3414347.73429045"
"45,""Alg1"",4312692.58377313"
"45,""Alg2"",6535514.72680347"
"46,""Alg1"",1206248.95218868"
"46,""Alg2"",2615349.24942036"
"47,""Alg1"",7408411.80880466"
"47,""Alg2"",9668268.1085974"
"48,""Alg1"",1239041.33203486"
"48,""Alg2"",2817548.33142295"
"49,""Alg1"",2774509.11572366"
"49,""Alg2"",4886927.0222392"
"50,""Alg1"",387371.605499192"
"50,""Alg2"",815383.008165933"
"51,""Alg1"",1261102.32791767"
"51,""Alg2"",2850757.82437717"
"52,""Alg1"",2906630.27842546"
"52,""Alg2"",5109945.94413212"
"53,""Alg1"",4443766.29439199"
"53,""Alg2"",6236998.2671168"
"54,""Alg1"",4058233.95402776"
"54,""Alg2"",5294567.62133553"
"55,""Alg1"",161970.278460185"
"55,""Alg2"",639418.202169701"
"56,""Alg1"",6116065.88433477"
"56,""Alg2"",8497392.56534574"
"57,""Alg1"",5306308.610052"
"57,""Alg2"",7622675.11732085"
"58,""Alg1"",1424874.82918845"
"58,""Alg2"",2944314.66701305"
"59,""Alg1"",4282906.0410184"
"59,""Alg2"",6328433.28614842"
"60,""Alg1"",2914446.64077408"
"60,""Alg2"",4585391.08944873"
"61,""Alg1"",5754638.20413657"
"61,""Alg2"",7768670.57972907"
"62,""Alg1"",4474740.70504294"
"62,""Alg2"",5957654.84694415"
"63,""Alg1"",796047.874442136"
"63,""Alg2"",1904638.16787412"
"64,""Alg1"",5308976.35637366"
"64,""Alg2"",7394414.58939014"
