"Block,""Instancia"",""Rep"",""Algorithm"",""Y"""
"1,118,1,""Alg1"",6533968.33139362"
"1,118,1,""Alg2"",9572610.70735404"
"1,118,2,""Alg1"",6009637.91506442"
"1,118,2,""Alg2"",7107403.91000648"
"1,51,3,""Alg1"",888010.133275288"
"1,51,3,""Alg2"",1684399.76993137"
"1,118,4,""Alg1"",5586904.29637885"
"1,118,4,""Alg2"",7905109.36911558"
"1,51,5,""Alg1"",918973.793273106"
"1,51,5,""Alg2"",1662585.19056136"
"1,101,6,""Alg1"",4219630.81242921"
"1,101,6,""Alg2"",6787564.0137278"
"1,101,7,""Alg1"",5029425.58077883"
"1,101,7,""Alg2"",6271864.57511042"
"1,118,8,""Alg1"",6684666.74215092"
"1,118,8,""Alg2"",8129949.45763114"
"1,51,9,""Alg1"",737663.860233668"
"1,51,9,""Alg2"",1527614.26088468"
"1,118,10,""Alg1"",5876712.07559016"
"1,118,10,""Alg2"",8212766.12433677"
"1,118,11,""Alg1"",5525818.61792222"
"1,118,11,""Alg2"",9104137.75758122"
"1,51,12,""Alg1"",795966.941709036"
"1,51,12,""Alg2"",1412211.71905782"
"1,101,13,""Alg1"",3742052.31581187"
"1,101,13,""Alg2"",7482991.56293115"
"1,118,14,""Alg1"",6294080.51199219"
"1,118,14,""Alg2"",8534737.83004014"
"1,118,15,""Alg1"",5026957.64180521"
"1,118,15,""Alg2"",7275572.02853531"
"1,101,16,""Alg1"",4856915.58166809"
"1,101,16,""Alg2"",6399398.88955329"
"1,118,17,""Alg1"",5916148.16804244"
"1,118,17,""Alg2"",8408770.51249187"
"1,118,18,""Alg1"",6240871.99868485"
"1,118,18,""Alg2"",8999576.34025099"
"1,51,19,""Alg1"",367070.666652223"
"1,51,19,""Alg2"",1721986.80226522"
"1,51,20,""Alg1"",1099336.47062876"
"1,51,20,""Alg2"",1887498.89523313"
"1,101,21,""Alg1"",3953738.88195738"
"1,101,21,""Alg2"",7388656.0654446"
"1,118,22,""Alg1"",6830541.29705419"
"1,118,22,""Alg2"",8471819.46158287"
"1,118,23,""Alg1"",6062832.33110808"
"1,118,23,""Alg2"",8752322.26510857"
"1,118,24,""Alg1"",6541498.34539661"
"1,118,24,""Alg2"",9226172.47681671"
"1,101,25,""Alg1"",4256749.09089804"
"1,101,25,""Alg2"",7372976.06307537"
"1,118,26,""Alg1"",5994502.73335271"
"1,118,26,""Alg2"",8882709.37067311"
"1,51,27,""Alg1"",936207.340484055"
"1,51,27,""Alg2"",1518755.15870558"
"1,118,28,""Alg1"",6300839.4435059"
"1,118,28,""Alg2"",7824141.33895304"
"1,51,29,""Alg1"",1100734.40050277"
"1,51,29,""Alg2"",1953337.54493695"
"1,101,30,""Alg1"",4778201.99110184"
"1,101,30,""Alg2"",7462467.27679512"
"2,18,1,""Alg1"",7492.79406833697"
"2,18,1,""Alg2"",221902.7581709"
"2,18,2,""Alg1"",6840.4663415036"
"2,18,2,""Alg2"",269043.613762606"
"2,18,3,""Alg1"",5915.83230731998"
"2,18,3,""Alg2"",235007.112310902"
"2,18,4,""Alg1"",6227.63715226035"
"2,18,4,""Alg2"",170312.844063595"
"2,18,5,""Alg1"",12949.3348018541"
"2,18,5,""Alg2"",235532.171311728"
"2,71,6,""Alg1"",2426991.80096282"
"2,71,6,""Alg2"",4142960.83836609"
"2,112,7,""Alg1"",6003010.39404552"
"2,112,7,""Alg2"",7152396.11153569"
"2,112,8,""Alg1"",4904880.24546988"
"2,112,8,""Alg2"",7653593.87028368"
"2,112,9,""Alg1"",4303652.34690648"
"2,112,9,""Alg2"",8642385.11588668"
"2,18,10,""Alg1"",10569.1350902356"
"2,18,10,""Alg2"",153873.111106492"
"2,112,11,""Alg1"",5625208.71628213"
"2,112,11,""Alg2"",7131154.66604699"
"2,71,12,""Alg1"",1463823.46025307"
"2,71,12,""Alg2"",4389804.83442148"
"2,71,13,""Alg1"",2274634.68018994"
"2,71,13,""Alg2"",4037677.89725803"
"2,112,14,""Alg1"",5567755.54300082"
"2,112,14,""Alg2"",8258735.01753334"
"2,71,15,""Alg1"",2500977.48586493"
"2,71,15,""Alg2"",4745345.01761866"
"2,112,16,""Alg1"",6146807.69215203"
"2,112,16,""Alg2"",7990534.85211157"
"2,112,17,""Alg1"",5382963.296158"
"2,112,17,""Alg2"",8784422.53265337"
"2,18,18,""Alg1"",11338.1961934547"
"2,18,18,""Alg2"",212617.091281414"
"2,71,19,""Alg1"",1507058.77593697"
"2,71,19,""Alg2"",4005947.86067212"
"2,112,20,""Alg1"",5590406.58069663"
"2,112,20,""Alg2"",8183392.80503982"
"2,112,21,""Alg1"",5395515.17225866"
"2,112,21,""Alg2"",8003531.39378322"
"2,112,22,""Alg1"",5712276.92328918"
"2,112,22,""Alg2"",8453008.69874232"
"2,112,23,""Alg1"",5278306.1024002"
"2,112,23,""Alg2"",7018902.90215652"
"2,71,24,""Alg1"",2259445.94892198"
"2,71,24,""Alg2"",3322645.66348053"
"2,18,25,""Alg1"",11005.2465539634"
"2,18,25,""Alg2"",214206.182833379"
"2,18,26,""Alg1"",5704.39668105822"
"2,18,26,""Alg2"",219565.183774729"
"2,18,27,""Alg1"",10901.7780219484"
"2,18,27,""Alg2"",175358.041340841"
"2,71,28,""Alg1"",1223371.68890637"
"2,71,28,""Alg2"",4405540.75468711"
"2,112,29,""Alg1"",5994880.65187973"
"2,112,29,""Alg2"",8059296.77877217"
"2,18,30,""Alg1"",3274.73609304983"
"2,18,30,""Alg2"",185473.992930924"
"3,70,1,""Alg1"",1695910.7876255"
"3,70,1,""Alg2"",3557565.96881452"
"3,88,2,""Alg1"",1853728.9809801"
"3,88,2,""Alg2"",5575256.65160192"
"3,109,3,""Alg1"",5941008.39148886"
"3,109,3,""Alg2"",7028600.77989649"
"3,70,4,""Alg1"",1784577.11341107"
"3,70,4,""Alg2"",4662195.28293832"
"3,109,5,""Alg1"",5686660.51866033"
"3,109,5,""Alg2"",8288172.50616889"
"3,88,6,""Alg1"",2772895.2947169"
"3,88,6,""Alg2"",6576878.66340792"
"3,88,7,""Alg1"",3124752.23219398"
"3,88,7,""Alg2"",6015517.27525223"
"3,109,8,""Alg1"",4197258.15998878"
"3,109,8,""Alg2"",7367122.87809007"
"3,70,9,""Alg1"",2227371.16724468"
"3,70,9,""Alg2"",3287437.72439388"
"3,109,10,""Alg1"",5346484.20704885"
"3,109,10,""Alg2"",7762250.59503156"
"3,88,11,""Alg1"",2811291.8589632"
"3,88,11,""Alg2"",6428783.67642647"
"3,70,12,""Alg1"",2295026.77787261"
"3,70,12,""Alg2"",3484625.78474119"
"3,88,13,""Alg1"",3488406.98980971"
"3,88,13,""Alg2"",6113559.84045445"
"3,109,14,""Alg1"",5312274.47012471"
"3,109,14,""Alg2"",7831152.62743246"
"3,109,15,""Alg1"",4606941.82510632"
"3,109,15,""Alg2"",6991757.61432817"
"3,70,16,""Alg1"",1208220.93229097"
"3,70,16,""Alg2"",3701178.83435944"
"3,70,17,""Alg1"",1702455.42353143"
"3,70,17,""Alg2"",3891718.63077778"
"3,88,18,""Alg1"",3033897.13856862"
"3,88,18,""Alg2"",6495258.86910038"
"3,109,19,""Alg1"",4917057.79839149"
"3,109,19,""Alg2"",8395566.6947982"
"3,109,20,""Alg1"",4986839.75701761"
"3,109,20,""Alg2"",7693428.15017878"
"3,70,21,""Alg1"",2002116.13266022"
"3,70,21,""Alg2"",2807074.92842474"
"3,88,22,""Alg1"",3549037.67423698"
"3,88,22,""Alg2"",7081245.94657145"
"3,70,23,""Alg1"",2335852.54096129"
"3,70,23,""Alg2"",3781885.9357226"
"3,88,24,""Alg1"",3530175.40285613"
"3,88,24,""Alg2"",5338137.19372507"
"3,109,25,""Alg1"",5798829.34604345"
"3,109,25,""Alg2"",7377786.34966709"
"3,70,26,""Alg1"",1717492.8395494"
"3,70,26,""Alg2"",4812563.89754179"
"3,88,27,""Alg1"",3754196.62630592"
"3,88,27,""Alg2"",6615317.84227642"
"3,70,28,""Alg1"",1413070.82405605"
"3,70,28,""Alg2"",3186407.18744134"
"3,88,29,""Alg1"",3061574.31280571"
"3,88,29,""Alg2"",6430688.7941637"
"3,88,30,""Alg1"",3435632.10805735"
"3,88,30,""Alg2"",6598727.46731844"
"4,53,1,""Alg1"",665118.196141509"
"4,53,1,""Alg2"",1301208.42730378"
"4,53,2,""Alg1"",746082.950529046"
"4,53,2,""Alg2"",1820282.43878493"
"4,73,3,""Alg1"",1484266.62152285"
"4,73,3,""Alg2"",4820800.99668633"
"4,73,4,""Alg1"",2176017.94210218"
"4,73,4,""Alg2"",3870901.42960807"
"4,53,5,""Alg1"",1338089.62194302"
"4,53,5,""Alg2"",1432260.8630624"
"4,73,6,""Alg1"",2303537.77620453"
"4,73,6,""Alg2"",4136532.12982307"
"4,53,7,""Alg1"",762303.772114652"
"4,53,7,""Alg2"",2040370.99685556"
"4,25,8,""Alg1"",36864.9838864314"
"4,25,8,""Alg2"",447918.899837893"
"4,73,9,""Alg1"",2415579.54458862"
"4,73,9,""Alg2"",4976062.76402226"
"4,73,10,""Alg1"",2406848.74230231"
"4,73,10,""Alg2"",4862895.90041754"
"4,53,11,""Alg1"",625910.542019948"
"4,53,11,""Alg2"",1708828.76460978"
"4,73,12,""Alg1"",2592618.35687174"
"4,73,12,""Alg2"",4347722.70179384"
"4,73,13,""Alg1"",2000143.01397722"
"4,73,13,""Alg2"",4781431.12735758"
"4,25,14,""Alg1"",54292.1075865618"
"4,25,14,""Alg2"",496555.615270793"
"4,53,15,""Alg1"",1249068.66480269"
"4,53,15,""Alg2"",2149024.00162928"
"4,53,16,""Alg1"",930356.909639641"
"4,53,16,""Alg2"",1966440.78664288"
"4,25,17,""Alg1"",56136.5105256812"
"4,25,17,""Alg2"",489473.865406425"
"4,73,18,""Alg1"",2346827.59788404"
"4,73,18,""Alg2"",4502823.71057196"
"4,53,19,""Alg1"",1156964.68296197"
"4,53,19,""Alg2"",1850513.03282774"
"4,73,20,""Alg1"",2526688.3708965"
"4,73,20,""Alg2"",4846413.38150146"
"4,53,21,""Alg1"",596082.174370804"
"4,53,21,""Alg2"",2041512.06936964"
"4,73,22,""Alg1"",2366898.04640216"
"4,73,22,""Alg2"",4805533.67119306"
"4,73,23,""Alg1"",2262974.81412992"
"4,73,23,""Alg2"",5355575.44687692"
"4,25,24,""Alg1"",66430.976899169"
"4,25,24,""Alg2"",326606.909337673"
"4,25,25,""Alg1"",80798.038416246"
"4,25,25,""Alg2"",459133.926550038"
"4,25,26,""Alg1"",69668.2402119051"
"4,25,26,""Alg2"",448013.895273024"
"4,53,27,""Alg1"",886471.560068849"
"4,53,27,""Alg2"",2080976.77550938"
"4,73,28,""Alg1"",1613126.77959038"
"4,73,28,""Alg2"",5374550.68494575"
"4,53,29,""Alg1"",962129.722469972"
"4,53,29,""Alg2"",1949190.3151059"
"4,53,30,""Alg1"",875404.300248686"
"4,53,30,""Alg2"",1918400.43657802"
"5,145,1,""Alg1"",8530154.86242254"
"5,145,1,""Alg2"",10896743.4846437"
"5,63,2,""Alg1"",1366505.663501"
"5,63,2,""Alg2"",4043782.78897653"
"5,117,3,""Alg1"",5805557.06525097"
"5,117,3,""Alg2"",8968063.35393339"
"5,145,4,""Alg1"",9156287.83816411"
"5,145,4,""Alg2"",11324927.6047684"
"5,117,5,""Alg1"",6304233.51174104"
"5,117,5,""Alg2"",7948366.91743736"
"5,117,6,""Alg1"",5753883.08178337"
"5,117,6,""Alg2"",8525241.62219626"
"5,117,7,""Alg1"",6478037.87095588"
"5,117,7,""Alg2"",7591690.11122496"
"5,145,8,""Alg1"",9277798.07193678"
"5,145,8,""Alg2"",11655163.7450051"
"5,117,9,""Alg1"",5780158.10784864"
"5,117,9,""Alg2"",9022514.11772138"
"5,145,10,""Alg1"",8336892.52410379"
"5,145,10,""Alg2"",11464599.413816"
"5,145,11,""Alg1"",8883815.49664732"
"5,145,11,""Alg2"",10963976.9566144"
"5,63,12,""Alg1"",2002346.33103449"
"5,63,12,""Alg2"",3039567.48771412"
"5,145,13,""Alg1"",9732450.29363762"
"5,145,13,""Alg2"",11190897.3977198"
"5,145,14,""Alg1"",9583610.23957884"
"5,145,14,""Alg2"",10132530.2749754"
"5,63,15,""Alg1"",1850232.11102597"
"5,63,15,""Alg2"",3799994.06134744"
"5,63,16,""Alg1"",1801649.27855347"
"5,63,16,""Alg2"",3168421.27078662"
"5,117,17,""Alg1"",5431449.53850275"
"5,117,17,""Alg2"",8413740.54793153"
"5,63,18,""Alg1"",1496149.24235435"
"5,63,18,""Alg2"",3042739.8079602"
"5,145,19,""Alg1"",7776524.62367091"
"5,145,19,""Alg2"",10832476.6953351"
"5,145,20,""Alg1"",9375906.83111234"
"5,145,20,""Alg2"",10910444.0739116"
"5,63,21,""Alg1"",1546378.36240255"
"5,63,21,""Alg2"",4249444.82238177"
"5,145,22,""Alg1"",9421670.90983446"
"5,145,22,""Alg2"",9660043.39852193"
"5,145,23,""Alg1"",8589023.89473785"
"5,145,23,""Alg2"",11517671.3662334"
"5,145,24,""Alg1"",8421168.16294111"
"5,145,24,""Alg2"",11206103.0988823"
"5,117,25,""Alg1"",5516328.36890427"
"5,117,25,""Alg2"",9340370.76545896"
"5,117,26,""Alg1"",6271372.4580052"
"5,117,26,""Alg2"",8715893.32597821"
"5,145,27,""Alg1"",8835052.04655432"
"5,145,27,""Alg2"",10275516.4255449"
"5,117,28,""Alg1"",5630219.95492107"
"5,117,28,""Alg2"",8403472.12953623"
"5,117,29,""Alg1"",5517843.5064884"
"5,117,29,""Alg2"",8182635.42597057"
"5,117,30,""Alg1"",5232301.07278424"
"5,117,30,""Alg2"",8286620.5269303"
"6,20,1,""Alg1"",24938.2336164378"
"6,20,1,""Alg2"",344696.311294564"
"6,20,2,""Alg1"",17512.6866761087"
"6,20,2,""Alg2"",321931.468332917"
"6,128,3,""Alg1"",5749685.34470444"
"6,128,3,""Alg2"",6981515.66782138"
"6,77,4,""Alg1"",2835671.45493535"
"6,77,4,""Alg2"",4999402.66574289"
"6,77,5,""Alg1"",2556277.60999399"
"6,77,5,""Alg2"",5228024.25028719"
"6,77,6,""Alg1"",2663003.45404721"
"6,77,6,""Alg2"",5062257.76972347"
"6,128,7,""Alg1"",6998301.21992307"
"6,128,7,""Alg2"",9406402.67788635"
"6,128,8,""Alg1"",6588627.18018352"
"6,128,8,""Alg2"",8802049.12145586"
"6,128,9,""Alg1"",7621476.08750961"
"6,128,9,""Alg2"",9133923.06704251"
"6,20,10,""Alg1"",11798.6210619938"
"6,20,10,""Alg2"",223123.16079772"
"6,77,11,""Alg1"",3067845.33828006"
"6,77,11,""Alg2"",4559196.54091239"
"6,20,12,""Alg1"",13663.5282838699"
"6,20,12,""Alg2"",262971.541882273"
"6,128,13,""Alg1"",6662214.16950401"
"6,128,13,""Alg2"",10518748.5009753"
"6,20,14,""Alg1"",7853.51670913536"
"6,20,14,""Alg2"",290419.082917105"
"6,20,15,""Alg1"",13362.9825868895"
"6,20,15,""Alg2"",234284.829961584"
